zipcode,gross_income_bracket,tax_returns_2007,tax_returns_2008,tax_returns_2009,tax_returns_2010,tax_returns_2011,tax_returns_2012,tax_returns_2013,tax_returns_2014
0,"0: < 25,000",7206853.0,6220131.0,6160971.0,6271416.0,6620523.0,6404780.0,6411100.0,6336730.0
0,"1: 25,000-50,000",3834467.0,3777895.0,3744118.0,3795875.0,3907930.0,3851420.0,3916770.0,3965570.0
0,"2: 50,000-75,000",2129615.0,2114223.0,2047609.0,2071618.0,2152410.0,2145000.0,2175060.0,2207030.0
0,"3: 75,000-100,000",1310319.0,1313113.0,1269016.0,1284362.0,1345012.0,1361280.0,1385750.0,1411040.0
0,"4: 100,000-200,000",1794378.0,1829708.0,1770054.0,1801455.0,1913458.0,2005070.0,2104210.0,2214810.0
0,"5: > 200,000",680811.0,641762.0,581847.0,636198.0,717341.0,799120.0,868510.0,978490.0
90001,"0: < 25,000",12797.0,11253.0,12572.0,13145.0,13094.0,13010.0,13100.0,13020.0
90001,"1: 25,000-50,000",5549.0,5672.0,5499.0,5539.0,5757.0,5700.0,5900.0,6110.0
90001,"2: 50,000-75,000",1221.0,1221.0,1203.0,1251.0,1362.0,1420.0,1480.0,1630.0
90001,"3: 75,000-100,000",266.0,303.0,287.0,299.0,319.0,340.0,330.0,420.0
90001,"4: 100,000-200,000",75.0,101.0,105.0,108.0,117.0,130.0,160.0,170.0
90001,"5: > 200,000",17.0,11.0,0.0,0.0,0.0,0.0,0.0,20.0
90002,"0: < 25,000",11585.0,10077.0,11322.0,11581.0,12306.0,11990.0,12150.0,12010.0
90002,"1: 25,000-50,000",4493.0,4596.0,4648.0,5037.0,4975.0,4920.0,5030.0,5330.0
90002,"2: 50,000-75,000",1051.0,1118.0,1101.0,1131.0,1211.0,1220.0,1320.0,1430.0
90002,"3: 75,000-100,000",238.0,252.0,233.0,283.0,308.0,280.0,340.0,380.0
90002,"4: 100,000-200,000",82.0,90.0,95.0,94.0,95.0,120.0,120.0,170.0
90002,"5: > 200,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90003,"0: < 25,000",15929.0,14018.0,15794.0,16671.0,17472.0,16820.0,17260.0,17130.0
90003,"1: 25,000-50,000",5904.0,6225.0,6377.0,6677.0,6814.0,6590.0,6870.0,7110.0
90003,"2: 50,000-75,000",1230.0,1331.0,1314.0,1416.0,1432.0,1480.0,1550.0,1750.0
90003,"3: 75,000-100,000",264.0,298.0,263.0,296.0,341.0,330.0,360.0,400.0
90003,"4: 100,000-200,000",93.0,110.0,95.0,100.0,92.0,140.0,140.0,180.0
